Feature,Importance,Importance (%)
Rotational speed [rpm],0.20187151299413356,20.187151299413355
Torque [Nm],0.18956160560807017,18.956160560807017
Power,0.18012567231061696,18.012567231061695
Tool wear [min],0.13725071950872525,13.725071950872525
Torque_Wear,0.11822069983024255,11.822069983024255
Heat_Index,0.058080584372036,5.8080584372035995
Temp_Difference,0.05608940023193884,5.608940023193884
Air temperature [K],0.032124058166197726,3.2124058166197726
Process temperature [K],0.019306186261303766,1.9306186261303766
Type_M,0.003811610977083807,0.3811610977083807
Type_L,0.00355794973965119,0.355794973965119
